schemaVersion,recordType,source.name,source.url,content.title,content.description,content.publishedAt,content.topic,collectedAt
1.0,NEWS,News18,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQRENGSHBEZHBZbWNveGZ0ZnV6NTJNbGlIZy1VOVQxbVp5aUltdnNxYjRTcFMwR1lVZkpPQUUxMldjb1V0eHBGUEIyMTJuTUpISnRfcWFBVDJsaTROSndPNlVKSTk2VjNGNFRjN3otRC1Tc3JZb0pmaEU4cEdJVTQyWWo5VG5IQmhwenZrTzZpWUFIX2pJMWtoQ25iT1NpN2pjRnRfX09uVUk5bTJDSHVjX0hMYTNtNEdKQktMZzBPZzlEOFZ6RDlzYzNQcmNRb3ppSEQ40gHYAUFVX3lxTE5Pc19tMnpRV1hyN2NOZzZTRnpabkY4WjFqUTRCSV9KaEkyLVdtMWYtN0NRc3BRVVVKTnhlTEZFX05IM0hNNTAyaVhIc2s0RWo5OFhYdXY4Z2s5bFgwVVAycVRkcG0yN1NpaGVfOXdSWTNCdXp2OUl3dlEyZ2kwSTlocWtCbS1FOGpDc1hJX1lZOGRkME12UzRNVjBVVExMWXluM0ZWQTA0TGhuTF9GeGlQNV9kUnZFS2NKTHpkZmVxMWdIZDNGZEM3SkFtVHh2UnI1b2hsdEs0Sg?oc=5,Calude: Don't Call Yourself An 'AI Expert' If You Don't Know These Basics Which No Course Will Teach - News18,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxQRENGSHBEZHBZbWNveGZ0ZnV6NTJNbGlIZy1VOVQxbVp5aUltdnNxYjRTcFMwR1lVZkpPQUUxMldjb1V0eHBGUEIyMTJuTUpISnRfcWFBVDJsaTROSndPNlVKSTk2VjNGNFRjN3otRC1Tc3JZb0pmaEU4cEdJVTQyWWo5VG5IQmhwenZrTzZpWUFIX2pJMWtoQ25iT1NpN2pjRnRfX09uVUk5bTJDSHVjX0hMYTNtNEdKQktMZzBPZzlEOFZ6RDlzYzNQcmNRb3ppSEQ40gHYAUFVX3lxTE5Pc19tMnpRV1hyN2NOZzZTRnpabkY4WjFqUTRCSV9KaEkyLVdtMWYtN0NRc3BRVVVKTnhlTEZFX05IM0hNNTAyaVhIc2s0RWo5OFhYdXY4Z2s5bFgwVVAycVRkcG0yN1NpaGVfOXdSWTNCdXp2OUl3dlEyZ2kwSTlocWtCbS1FOGpDc1hJX1lZOGRkME12UzRNVjBVVExMWXluM0ZWQTA0TGhuTF9GeGlQNV9kUnZFS2NKTHpkZmVxMWdIZDNGZEM3SkFtVHh2UnI1b2hsdEs0Sg?oc=5"" target=""_blank"">Calude: Don't Call Yourself An 'AI Expert' If You Don't Know These Basics Which No Course Will Teach</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font>",2026-08-16T05:28:28+00:00,AI technology,2026-08-16T05:40:47.102648+00:00
1.0,NEWS,livemint.com,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQV3l4ZXNFUW1wNHRGa3hmYU9vTkVLZUM4OVJiMHFPYnBXU0JJVUwwMUEzVFVyV0h4a2VjMFFhQWwzSmZwWDc5a2tiWk1rWEF5VnVHUVdRTnFZT2g4MFRPMHlXdXJXMzVpY3ZBRlBRYmROZzhINFlabVpTOG5KUkctelFJMnVaSkhoRThqZGJ3R0RDVFpqWDJUV3Z0bGVaUWhGdm11TVYta29WMVIxUXZIeXUwR1RWMk5wWC1QN25hQ09YS3lVRzVQNDF5bzZYS2VVbURkTFhR0gHbAUFVX3lxTE16UEtMUUpoLVRyRXQ2aVROUWtWR1g0YS0yUi1NdmZQUVNTb3E5TnZEelVXa0RCY3dGdUVxS3JSeVM4V01NWEZkaDlleVUySk12SHVrWnYtN1VPZWx3YjZDbjhrNHhHRTdVbUdzeW1qXzdQT0NuMzlvUFd5X3pJQWdKOUlIMmpheUc0Vm1UdG03RXU0dHhneVpfSW1lRHVNYUtFbWlRZm5ENmhNOWhoaml3ejVoS1lkcHpIcDhva2kxeFJjMnJZRmRxdm5tOG9HVGRkc3owTGhhQ1RYZw?oc=5,"Global AI investment $1 tln in 2026, to reach 1.4 pc global GDP by 2028: Goldman Sachs - livemint.com","<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxQV3l4ZXNFUW1wNHRGa3hmYU9vTkVLZUM4OVJiMHFPYnBXU0JJVUwwMUEzVFVyV0h4a2VjMFFhQWwzSmZwWDc5a2tiWk1rWEF5VnVHUVdRTnFZT2g4MFRPMHlXdXJXMzVpY3ZBRlBRYmROZzhINFlabVpTOG5KUkctelFJMnVaSkhoRThqZGJ3R0RDVFpqWDJUV3Z0bGVaUWhGdm11TVYta29WMVIxUXZIeXUwR1RWMk5wWC1QN25hQ09YS3lVRzVQNDF5bzZYS2VVbURkTFhR0gHbAUFVX3lxTE16UEtMUUpoLVRyRXQ2aVROUWtWR1g0YS0yUi1NdmZQUVNTb3E5TnZEelVXa0RCY3dGdUVxS3JSeVM4V01NWEZkaDlleVUySk12SHVrWnYtN1VPZWx3YjZDbjhrNHhHRTdVbUdzeW1qXzdQT0NuMzlvUFd5X3pJQWdKOUlIMmpheUc0Vm1UdG03RXU0dHhneVpfSW1lRHVNYUtFbWlRZm5ENmhNOWhoaml3ejVoS1lkcHpIcDhva2kxeFJjMnJZRmRxdm5tOG9HVGRkc3owTGhhQ1RYZw?oc=5"" target=""_blank"">Global AI investment $1 tln in 2026, to reach 1.4 pc global GDP by 2028: Goldman Sachs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">livemint.com</font>",2026-08-16T05:26:42+00:00,artificial intelligence,2026-08-16T05:40:45.793772+00:00
1.0,NEWS,whalesbook.com,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPMU03U0FiNkJIeUxlNG14dS1ETTdKdWdLYUhaZHU5bkJaTUUzNjZkR3JfZVNlc0VQU2g2WWw1UFg2QVp6M2xsbV9RTkdJT2FWTExxNXFoUXN0S2JnbVZHYUtzeUNqWWdQRW5XUGhfQUNUSndUY0FzdWhyNlhDWFcwSlNzSUhqXzB2ckdiVER6aEdMX0JJTFlxQXRjOWJsc2M5T3ZyM1ZnMl9IWnNieVFpTkZtMlBSLWNhdlRGM1JDZU52NURxTlVMX1l0eVZhZE9XekE?oc=5,Nithin Kamath Warns Founders: 'We Use AI' Pitch No Longer Works - whalesbook.com,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPMU03U0FiNkJIeUxlNG14dS1ETTdKdWdLYUhaZHU5bkJaTUUzNjZkR3JfZVNlc0VQU2g2WWw1UFg2QVp6M2xsbV9RTkdJT2FWTExxNXFoUXN0S2JnbVZHYUtzeUNqWWdQRW5XUGhfQUNUSndUY0FzdWhyNlhDWFcwSlNzSUhqXzB2ckdiVER6aEdMX0JJTFlxQXRjOWJsc2M5T3ZyM1ZnMl9IWnNieVFpTkZtMlBSLWNhdlRGM1JDZU52NURxTlVMX1l0eVZhZE9XekE?oc=5"" target=""_blank"">Nithin Kamath Warns Founders: 'We Use AI' Pitch No Longer Works</a>&nbsp;&nbsp;<font color=""#6f6f6f"">whalesbook.com</font>",2026-08-16T05:22:57+00:00,AI startup,2026-08-16T05:40:50.386823+00:00
1.0,NEWS,Mid-Day,https://news.google.com/rss/articles/CBMi6AFBVV95cUxOSlVkYWJ4MHF5VVdNVS01SVUxbU1xSmY0djQyM3FrQThUUzJZVllNeW5DSUJNcVFibjhJcVROblIydjlnTzRSUXNnNF9jR2daSEh0dUFzMEtkZFdMOEd0ZzUwcHIxY2FyZEZuUXpUZkJNVk9wSWpDZnBmbzktMzBVLXR2TG9yWlMxNHJaMk9RLXg0V2FTa3R1MlNKbHNkVEhlb2o3SU1ubzdRTHp0TzlnSjVVU29VcFBDdE9SeXpxZEZFYXNzalQ5VXBicVlkQ1lrQWxJUjI0TDBLbnUxU1haa2lDUW5XR1Fx0gHuAUFVX3lxTE5jRGdzek9MbGl4ZW5lcE45NXU5N1RYUVFOSWlFMGo5d3E3cWFuclpWWHZ4RGdCeGExWVYtQzd2T2ZWUjA4UnNwZDk0LThtUUNxZVRxelRSTEpIOTJlYkdHNUZRdWQzaWk4Zk5sUXZqdTZLV2pha19GRDJhOUhndk90SWlJdkNDd1NSSDhuS3U5X2trekhZZDlWRm5aY0VBS0UzZjFwd3p6RHpjUWxnbzVmb3dVbU8wVzMxLXdLM3p0dXJMMVRfbnlTQUxwRG5qVDZXNmJTWnNkUHlYd2pIUEJXSWdULXRGZlZYZ1NWaEE?oc=5,AI could cut doctors' paperwork burden as global health worker shortage looms: Report - Mid-Day,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxOSlVkYWJ4MHF5VVdNVS01SVUxbU1xSmY0djQyM3FrQThUUzJZVllNeW5DSUJNcVFibjhJcVROblIydjlnTzRSUXNnNF9jR2daSEh0dUFzMEtkZFdMOEd0ZzUwcHIxY2FyZEZuUXpUZkJNVk9wSWpDZnBmbzktMzBVLXR2TG9yWlMxNHJaMk9RLXg0V2FTa3R1MlNKbHNkVEhlb2o3SU1ubzdRTHp0TzlnSjVVU29VcFBDdE9SeXpxZEZFYXNzalQ5VXBicVlkQ1lrQWxJUjI0TDBLbnUxU1haa2lDUW5XR1Fx0gHuAUFVX3lxTE5jRGdzek9MbGl4ZW5lcE45NXU5N1RYUVFOSWlFMGo5d3E3cWFuclpWWHZ4RGdCeGExWVYtQzd2T2ZWUjA4UnNwZDk0LThtUUNxZVRxelRSTEpIOTJlYkdHNUZRdWQzaWk4Zk5sUXZqdTZLV2pha19GRDJhOUhndk90SWlJdkNDd1NSSDhuS3U5X2trekhZZDlWRm5aY0VBS0UzZjFwd3p6RHpjUWxnbzVmb3dVbU8wVzMxLXdLM3p0dXJMMVRfbnlTQUxwRG5qVDZXNmJTWnNkUHlYd2pIUEJXSWdULXRGZlZYZ1NWaEE?oc=5"" target=""_blank"">AI could cut doctors' paperwork burden as global health worker shortage looms: Report</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mid-Day</font>",2026-08-16T05:21:00+00:00,artificial intelligence,2026-08-16T05:40:45.794265+00:00
1.0,NEWS,The Straits Times,https://news.google.com/rss/articles/CBMioAFBVV95cUxPLVlJUHRXMFBGR19POHlkZGRnaEJhcTVuWWxzdktjdlFCRVpsZ1BhX1BXdTQ3S09QaVViQU1GSU9sY0dQQTRWX19IVHhaRkV6TVdHcndaUVJLRGhGUlRYdVpGVWl2cWlLWlp1X1VSMmNZbDJfRHBWVFBCX04xVTZGcWI3NXhEVTJhSl9xRTllV3RHSDFZbGlUOG5BbGlHX3lL?oc=5,"Dogs can distinguish human facial emotions, study shows - The Straits Times","<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxPLVlJUHRXMFBGR19POHlkZGRnaEJhcTVuWWxzdktjdlFCRVpsZ1BhX1BXdTQ3S09QaVViQU1GSU9sY0dQQTRWX19IVHhaRkV6TVdHcndaUVJLRGhGUlRYdVpGVWl2cWlLWlp1X1VSMmNZbDJfRHBWVFBCX04xVTZGcWI3NXhEVTJhSl9xRTllV3RHSDFZbGlUOG5BbGlHX3lL?oc=5"" target=""_blank"">Dogs can distinguish human facial emotions, study shows</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Straits Times</font>",2026-08-16T05:17:56+00:00,machine learning,2026-08-16T05:40:48.330648+00:00
1.0,NEWS,Moneycontrol.com,https://news.google.com/rss/articles/CBMi6wFBVV95cUxNdzJTUWZIaGQ5WHhqT1NOMkJnVUt6cmNTZmxYQkktSENHRl9zaEhpMWJCN09aWVhrR3U2dVZBUFV4NHZVOUtJamxDWFpPY2pZcmtaWXJkWW53RkNTTUlWMDRYY1FYTkROVEk1aW9xMjJRRDJ3R3R4dDRSRGZDS0YwOXM0aVZ3NHhzY1VNa2lES25ZWHZrYzZQczAzSThUcHhyT3A1RzJVRjlLaTYwMU9Jc19rZGlqc1FGcTktMFZodHRMZTdUQTB2ZlRHVFVoS2RyNjNLLWRUZS1udk1KWXJ2MW5PaENRMEhuSUpZ0gHwAUFVX3lxTE9SR3oyTXpDTmNvalhxZW93S0VsY0x2dVdHZU42VTBlN2tHU1N5blBVMHNkU2xLVzY5WTQzenJlN2ctT21jLThBMktxbGY0aFJ4c1dHS3plU1k1ZzJBbWlwSVpya2pNS2dmeEhERDY1djItOUM1ekhnd3pUTWZ2WFVmOVN3WmtXMmNvbXhfVk55NnVUb3RzQVFoQ2Z6XzlNN2JlcUtleXU0c1lDRlNkT2dCanBxQVg2RC01VHQ5VkU0aVk4OFgzUmdvTXZxUFRibWlNbnZvWktzemUwbHhGejdBX3NoaFc5V1ctN0NQOVc5UQ?oc=5,"Nithin Kamath says ‘we use AI’ is no longer a startup differentiator, urges founders to rethink... - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxNdzJTUWZIaGQ5WHhqT1NOMkJnVUt6cmNTZmxYQkktSENHRl9zaEhpMWJCN09aWVhrR3U2dVZBUFV4NHZVOUtJamxDWFpPY2pZcmtaWXJkWW53RkNTTUlWMDRYY1FYTkROVEk1aW9xMjJRRDJ3R3R4dDRSRGZDS0YwOXM0aVZ3NHhzY1VNa2lES25ZWHZrYzZQczAzSThUcHhyT3A1RzJVRjlLaTYwMU9Jc19rZGlqc1FGcTktMFZodHRMZTdUQTB2ZlRHVFVoS2RyNjNLLWRUZS1udk1KWXJ2MW5PaENRMEhuSUpZ0gHwAUFVX3lxTE9SR3oyTXpDTmNvalhxZW93S0VsY0x2dVdHZU42VTBlN2tHU1N5blBVMHNkU2xLVzY5WTQzenJlN2ctT21jLThBMktxbGY0aFJ4c1dHS3plU1k1ZzJBbWlwSVpya2pNS2dmeEhERDY1djItOUM1ekhnd3pUTWZ2WFVmOVN3WmtXMmNvbXhfVk55NnVUb3RzQVFoQ2Z6XzlNN2JlcUtleXU0c1lDRlNkT2dCanBxQVg2RC01VHQ5VkU0aVk4OFgzUmdvTXZxUFRibWlNbnZvWktzemUwbHhGejdBX3NoaFc5V1ctN0NQOVc5UQ?oc=5"" target=""_blank"">Nithin Kamath says ‘we use AI’ is no longer a startup differentiator, urges founders to rethink...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2026-08-16T05:16:03+00:00,artificial intelligence,2026-08-16T05:40:45.794031+00:00
1.0,NEWS,Jamaica Gleaner,https://news.google.com/rss/articles/CBMiswFBVV95cUxOWGpxa28xOFEycmVtODFrWnNqS05JamNsOVlEWjZmbDJoRVoycEZLODBlc01jeTAtNlEyOHYtZF9Kd3NFd1Iwd2JYNXBlMFFIQWpzbndhSkxQWVduUFludVBYTHU5QlV0QThkMjVpM2dDNjZRRmw2UXdmZGhWMFJORW1rLTFyMUwzOG5VR3R2SlZWNWVNckN5LS10dHMwMGNaUFhTS1BzTDViUnVIQkFncWFXRQ?oc=5,New AI platform launches as Ja prepares public debate on AI rules - Jamaica Gleaner,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxOWGpxa28xOFEycmVtODFrWnNqS05JamNsOVlEWjZmbDJoRVoycEZLODBlc01jeTAtNlEyOHYtZF9Kd3NFd1Iwd2JYNXBlMFFIQWpzbndhSkxQWVduUFludVBYTHU5QlV0QThkMjVpM2dDNjZRRmw2UXdmZGhWMFJORW1rLTFyMUwzOG5VR3R2SlZWNWVNckN5LS10dHMwMGNaUFhTS1BzTDViUnVIQkFncWFXRQ?oc=5"" target=""_blank"">New AI platform launches as Ja prepares public debate on AI rules</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jamaica Gleaner</font>",2026-08-16T05:10:10+00:00,artificial intelligence,2026-08-16T05:40:45.794414+00:00
1.0,NEWS,India Education Diary,https://news.google.com/rss/articles/CBMiygFBVV95cUxPOUZhMkhEczAwWUlFTFpndHV6VUtDRUoxamZObDN6eTVCazQzWFJFeEg5OUdBZE5RelNWTkdpckNEMDM2ZHlQTUhZMUppb3RYUElwVXdxZzdDam5rVjVDUjlKMi1Vbmxjc1NBa2JnTThkYndnM1JhVnM3UmRQZlF2ZHJGLUZlT2VVdnlLVDZta2R1NVRvSHRpeWFlLXRuMTdWQndQaGk4X0JWTTBMNy03WHBLYjRRMjRzY0h3Vk5XY01kUlQwNnk0blRR?oc=5,"CBSE and IIT Gandhinagar Launch New Season of 3030 Eklavya on Computational Thinking, AI and STEM - India Education Diary","<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxPOUZhMkhEczAwWUlFTFpndHV6VUtDRUoxamZObDN6eTVCazQzWFJFeEg5OUdBZE5RelNWTkdpckNEMDM2ZHlQTUhZMUppb3RYUElwVXdxZzdDam5rVjVDUjlKMi1Vbmxjc1NBa2JnTThkYndnM1JhVnM3UmRQZlF2ZHJGLUZlT2VVdnlLVDZta2R1NVRvSHRpeWFlLXRuMTdWQndQaGk4X0JWTTBMNy03WHBLYjRRMjRzY0h3Vk5XY01kUlQwNnk0blRR?oc=5"" target=""_blank"">CBSE and IIT Gandhinagar Launch New Season of 3030 Eklavya on Computational Thinking, AI and STEM</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Education Diary</font>",2026-08-16T05:06:50+00:00,artificial intelligence,2026-08-16T05:40:45.794224+00:00
1.0,NEWS,The Times of India,https://news.google.com/rss/articles/CBMinAJBVV95cUxPOTJqUmowaEtNZGR1NUFUMV82V0pGb29IXzZSdjZvcHAxZzdIdXh1ZGVFejBRaEVCaC1mbW9EOGszZkpPcFVVOENBOGtXWlJkTm9mcERWQ09TbkRVMXphMFMwbkpKZEtvZVY1NVpMVEhIYU9UUFRpVXFacDZVNnRhbUMxYTVxOFhsLW9FZzJseEdVczhIb0ZfaHo5em5vQ2xVMDZpVjNsMU9NVFpOVDhWcDdaTGQ2OXdyRHp2MFh4V21OckpRT0tVVzNVNEtJV1BQS3lZeld3ZWNpNWZiNXRVX2VvNzR5cGxhU2FJYVhYczY4VS03di10amlTM21may05NTRueFdBZi1GdWFYc0tOdU5hMVVDa0ZjUkZmdtIBogJBVV95cUxPaGxpT0dZdE9xeS00eHpKWXRHXy1ESjlFc2o2V3pnQXRNaFQ2TWFnV0VBU0V5Z1JBVkhscS0yNVE2Q2ZJNk1EYlQtelRXUTRoUVhBcVZYQlpNSDVQcllOSGNBQWdjRXRSMkQ5TEhKS1NVNVk3R1ExZjEwcHIteFhhUGM1dlk3aDMzcHViUFplZjh0cHBpSHdReDdzSENrY0t3aEJlUjlCZzc5UmstaFpOeTRPSGM3dktNcDh1WUdPblVLbGxvVkRzNExlcWpuYmdybzc1ZmU1T0dFR1lLV2wzajdNMk5nNTU4enJCemkySkR2U19tbTl3bjNsTl9sakppRV9CZDNDWXd2SEZ4THR3UklHVEM5aEFqQnFtM2NGY0VqZw?oc=5,Elon Musk makes a promise to employees at townhall: Anyone at SpaceX who wants to go to the Moon or Mars - The Times of India,"<a href=""https://news.google.com/rss/articles/CBMinAJBVV95cUxPOTJqUmowaEtNZGR1NUFUMV82V0pGb29IXzZSdjZvcHAxZzdIdXh1ZGVFejBRaEVCaC1mbW9EOGszZkpPcFVVOENBOGtXWlJkTm9mcERWQ09TbkRVMXphMFMwbkpKZEtvZVY1NVpMVEhIYU9UUFRpVXFacDZVNnRhbUMxYTVxOFhsLW9FZzJseEdVczhIb0ZfaHo5em5vQ2xVMDZpVjNsMU9NVFpOVDhWcDdaTGQ2OXdyRHp2MFh4V21OckpRT0tVVzNVNEtJV1BQS3lZeld3ZWNpNWZiNXRVX2VvNzR5cGxhU2FJYVhYczY4VS03di10amlTM21may05NTRueFdBZi1GdWFYc0tOdU5hMVVDa0ZjUkZmdtIBogJBVV95cUxPaGxpT0dZdE9xeS00eHpKWXRHXy1ESjlFc2o2V3pnQXRNaFQ2TWFnV0VBU0V5Z1JBVkhscS0yNVE2Q2ZJNk1EYlQtelRXUTRoUVhBcVZYQlpNSDVQcllOSGNBQWdjRXRSMkQ5TEhKS1NVNVk3R1ExZjEwcHIteFhhUGM1dlk3aDMzcHViUFplZjh0cHBpSHdReDdzSENrY0t3aEJlUjlCZzc5UmstaFpOeTRPSGM3dktNcDh1WUdPblVLbGxvVkRzNExlcWpuYmdybzc1ZmU1T0dFR1lLV2wzajdNMk5nNTU4enJCemkySkR2U19tbTl3bjNsTl9sakppRV9CZDNDWXd2SEZ4THR3UklHVEM5aEFqQnFtM2NGY0VqZw?oc=5"" target=""_blank"">Elon Musk makes a promise to employees at townhall: Anyone at SpaceX who wants to go to the Moon or Mars</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",2026-08-16T05:06:00+00:00,AI technology,2026-08-16T05:40:47.100610+00:00
1.0,NEWS,India Today,https://news.google.com/rss/articles/CBMi9gFBVV95cUxOb1loOXByaVU2QWx2N3BaZnZvdDE2bmxqTFRmMWtIYlVfWTdTTVFlNmowTHV0NjRubGUwUXc4WVFGb0czSkNNZVBRM25tRDBhdzBSVmE3Z1I5ZWJoWTZDdS1VRklZNllKUVZyVEQwekc2WHV6WkxwajU0cHppZjEwNTFWXzlhZEV0Z2I4dk1iVjFKRlZQUmc4amhnbHpGUFZ5anV3alBodnRPb2pIWjU4UmdJamkzMDFURm52YnpvTjBvT0tsU0xWLVQtbG9GSDV6NW50NFEtazg5N0xETmxSaWh2MnFSQUtlMEpaM1BZel9KU3NBTGfSAfYBQVVfeXFMTm9ZaDlwcmlVNkFsdjdwWmZ2b3QxNm5sakxUZjFrSGJVX1k3U01RZTZqMEx1dDY0bmxlMFF3OFlRRm9HM0pDTWVQUTNubUQwYXcwUlZhN2dSOWViaFk2Q3UtVUZJWTZZSlFWclREMHpHNlh1elpMcGo1NHB6aWYxMDUxVl85YWRFdGdiOHZNYlYxSkZWUFJnOGpoZ2x6RlBWeWp1d2pQaHZ0T29qSFo1OFJnSWppMzAxVEZudmJ6b04wb09LbFNMVi1ULWxvRkg1ejVudDRRLWs4OTdMRE5sUmlodjJxUkFLZTBKWjNQWXpfSlNzQUxn?oc=5,"Anthropic says it will add invisible AI watermark to show when you use Claude, but it is okay - India Today","<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxOb1loOXByaVU2QWx2N3BaZnZvdDE2bmxqTFRmMWtIYlVfWTdTTVFlNmowTHV0NjRubGUwUXc4WVFGb0czSkNNZVBRM25tRDBhdzBSVmE3Z1I5ZWJoWTZDdS1VRklZNllKUVZyVEQwekc2WHV6WkxwajU0cHppZjEwNTFWXzlhZEV0Z2I4dk1iVjFKRlZQUmc4amhnbHpGUFZ5anV3alBodnRPb2pIWjU4UmdJamkzMDFURm52YnpvTjBvT0tsU0xWLVQtbG9GSDV6NW50NFEtazg5N0xETmxSaWh2MnFSQUtlMEpaM1BZel9KU3NBTGfSAfYBQVVfeXFMTm9ZaDlwcmlVNkFsdjdwWmZ2b3QxNm5sakxUZjFrSGJVX1k3U01RZTZqMEx1dDY0bmxlMFF3OFlRRm9HM0pDTWVQUTNubUQwYXcwUlZhN2dSOWViaFk2Q3UtVUZJWTZZSlFWclREMHpHNlh1elpMcGo1NHB6aWYxMDUxVl85YWRFdGdiOHZNYlYxSkZWUFJnOGpoZ2x6RlBWeWp1d2pQaHZ0T29qSFo1OFJnSWppMzAxVEZudmJ6b04wb09LbFNMVi1ULWxvRkg1ejVudDRRLWs4OTdMRE5sUmlodjJxUkFLZTBKWjNQWXpfSlNzQUxn?oc=5"" target=""_blank"">Anthropic says it will add invisible AI watermark to show when you use Claude, but it is okay</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",2026-08-16T05:04:42+00:00,AI technology,2026-08-16T05:40:47.100496+00:00
